product,protein,fat,carbs,calories,price,weight_per_100g,full_package_weight,is_promo,category
"ფქვილი ხორბლის ""ფაველი"" უ/ხ",8,1,75,350,4.35,,2000.0,0,საცხობი საშუალებები
"ფქვილი ხორბლის ""ზოგე"" უ/ხ",8,1,75,350,3.9,,2000.0,0,საცხობი საშუალებები
ფქვილი სიმინდის უ/ხ,8,1,75,350,4.6,,500,0,საცხობი საშუალებები
"ფქვილი ხორბლის ""ზოგე"" უ/ხ",8,1,75,350,2.2,,500,0,საცხობი საშუალებები
ღერღილი სიმინდის უ/ხ,8,1,75,350,4.6,,500,0,საცხობი საშუალებები
"ფქვილი ხორბლის ""ზოგე"" უ/ხ",8,1,75,350,3.7,,2000.0,0,საცხობი საშუალებები
"კაკაო ""იამუნია"" შავი",8,1,75,350,2.35,,25.0,0,საცხობი საშუალებები
"კაკაო ""როსიისკი""",8,1,75,350,7.45,,100.0,0,საცხობი საშუალებები
"სანელებლები დარიჩინი ""ჯეო"" დაფქვილი",8,1,75,350,0.55,,1.0,0,საცხობი საშუალებები
"ფქვილი ხორბლის ""ჟარკოფი"" უ/ხ",8,1,75,350,4.35,,2000.0,0,საცხობი საშუალებები
"ვერმიშელი ""დოშირაკი"" საქონლის",8,15,45,350,1.15,,70.0,0,სწრაფად მოსამზადებელი საკვები
"ვერმიშელი ""დოშირაკი"" სოკოთი",8,15,45,350,1.15,,70.0,0,სწრაფად მოსამზადებელი საკვები
"ვერმიშელი ""დოშირაკი"" ქათმის",8,15,45,350,1.15,,70.0,0,სწრაფად მოსამზადებელი საკვები
"ვერმიშელი ""რონდო"" ქათმის",8,15,45,350,0.85,,50.0,0,სწრაფად მოსამზადებელი საკვები
"ვერმიშელი ""რონდო"" ქათმის ცხარე",8,15,45,350,0.85,,50.0,0,სწრაფად მოსამზადებელი საკვები
"ლაფშა ""დოშირაკი"" საქონლის (თეფში)",8,15,45,350,2.4,,90.0,0,სწრაფად მოსამზადებელი საკვები
