product	protein	fat	carbs	calories	price	sale_type	unit_weight	total_package_weight	is_promo
მაიონეზი "ქართული" სამარხვო 50%	0	0	0	0	1.9	package_weight	0	200	0
მაიონეზი "ქართული" პროვონსალი 67%	0	0	0	0	1.95	package_weight	0	200	0
მაიონეზი "სლობოდა" პროვანსალი 67%	0	0	0	0	8.25	weight	0	400	0
მაიონეზი "სლობოდა" არაჟნით	0	0	0	0	8.7	weight	0	400	0
მაიონეზი "სლობოდა" სამარხვო 56%	0	0	0	0	8.1	weight	0	400	0
მაიონეზი "გურმე" პროვანსალი	0	0	0	0	4.95	weight	0	350	0
მაიონეზი "გურმე" ოლვიკოვი	0	0	0	0	4.95	weight	0	350	0
კეტჩუპი "კალვე" ტომატის	0	0	0	0	2.75	weight	0	350	0
კეტჩუპი "კალვე" მექსიკური ტაბასკო	0	0	0	0	2.75	weight	0	350	0
კეტჩუპი "ქართული" სამწვადე	0	0	0	0	1.5	weight	0	200	0
კეტჩუპი "ქართული" ცხარე	0	0	0	0	1.5	weight	0	200	0
ტყემალი "მარნეული" მწვანე	0	0	0	0	6.5	weight	0	530	0
ტყემალი "მარნეული" ტრადიციული	0	0	0	0	6.5	weight	0	530	0
ტყემალი "ოდა" მწვანე	0	0	0	0	4.95	weight	0	500	0
ტყემალი "ოდა" წითელი	0	0	0	0	4.95	weight	0	500	0
საწებელი პამიდოვრის "ოდა"	0	0	0	0	4.95	weight	0	500	0
სოუსი "ასტორია" ყველით	0	0	0	0	3.95	weight	0	233	0
სოუსი "ჯაკომო" ჩილი ცხარე	0	0	0	0	1.5	weight	0	220	0
საწებელი პომიდვრის "მარნეული" ცოცხალი	0	0	0	0	4.95	weight	0	535	0
სოუსი "ასტორია" ცეზარი ყვითელი	0	0	0	0	3.95	weight	0	200	0
სოუსი "ასტორია" ბურგერის	0	0	0	0	3.95	weight	0	200	0
სოუსი "ასტორია" ტერიაკი	0	0	0	0	3.95	weight	0	200	0
სოუსი "ასტორია" ტკბილ-მჟავე	0	0	0	0	3.95	weight	0	200	0
სოუსი "ჰეფი მამ" სოიოს	0	0	0	0	5.5	package_weight	0	500	0
მდოგვი "ლიდერ ფუდი"	0	0	0	0	0.75	weight	0	50	0
სოუსი "ასტორია" სენდვიჩის	0	0	0	0	3.95	weight	0	200	0
თაფლი, მურაბა & ჯემი	0	0	0	0	0	package_weight	0	0	0
თაფლი "თაფლი სახლში" ცაცხვის და ყვავილების (პლ. ბოთ.)	0	0	0	0	9.95	weight	0	400	0
თაფლი "თაფლი სახლში" ცაცხვის და ყვავილების	0	0	0	0	19.75	weight	0	1000	0
თაფლი "ჰობი" (პაკ)	0	0	0	0	10.75	weight	0	400	0
თაფლი "თაფლი სახლში" ცაცხვის და ყვავილების	0	0	0	0	10.5	weight	0	420	0
მურაბა ჯოლოს	0	0	0	0	4.95	weight	0	200	0
სიმინდის ფანტელი	0	0	0	0	0	package_weight	0	0	0
ფანტელი სიმინდის ”სტარტი” შოკოლადის ბურთები	0	0	0	0	3.95	weight	0	150	0
ფანტელი სიმინდის ”სტარტი” შოკოლადის ბურთები	0	0	0	0	10.65	weight	0	500	0
ფანტელი სიმინდის ”სტარტი” დუო	0	0	0	0	9.95	weight	0	500	0
ფანტელი სიმინდის "სტარტი" შოკოლადის ბალიშებით	0	0	0	0	10.75	weight	0	500	0
ფანტელი სიმინდის "სტარტი" ნატურალური	0	0	0	0	10.95	weight	0	500	0
ძეხვეული	0	0	0	0	0	package_weight	0	0	0
ძეხვი ნედლად შებოლილი "ლიდერ ფუდი" ტოსკანა	0	0	0	0	7.6	weight	0	400	0
სოსისი "ბიუ ბიუ" ივერია ქათმის	0	0	0	0	7.95	weight	0	500	0
სოსისი "ლიდერ ფუდი" ივერია ტკაცუნა სპეცი	0	0	0	0	14.5	weight	0	500	0
ძეხვი ნედლად შებოლილი "პრემიო" პეპერონი	0	0	0	0	18.95	weight	0	260	0
ძეხვი ნედლად შებოლილი "ლიდერ ფუდი" ტოსკანა	0	0	0	0	19.95	weight	0	300	0
ძეხვი ნედლად შებოლილი "პრემიო" ჩორიზო	0	0	0	0	18.95	weight	0	260	0
ძეხვი ნედლად შებოლილი "პრემიო" ჩორიზო	0	0	0	0	9.5	weight	0	130	0
ძეხვი ნედლად შებოლილი "პრემიო" პეპერონი	0	0	0	0	9.5	weight	0	130	0
ძეხვი ნედლად შებოლილი "ლიდერ ფუდი" პეპერონი	0	0	0	0	19.95	weight	0	300	0
ძეხვი ნედლად შებოლილი "ლიდერ ფუდი" ნაპოლი	0	0	0	0	19.95	weight	0	300	0
ძეხვი ნედლად შებოლილი "ლიდერ ფუდი" ნაპოლი	0	0	0	0	6.66	weight	0	100	0
ძეხვი ნედლად შებოლილი "ლიდერ ფუდი" პეპერონი	0	0	0	0	6.55	weight	0	100	0
ძეხვი მოხარშული "ბიუ ბიუ" საექიმო ქათმის	0	0	0	0	4.95	weight	0	300	0
ინდაურის პაშტეტი " პროფი"	0	0	0	0	3.5	weight	0	131	0
სოსისი "ლიდერ ფუდი" დელიკატესი დე რომა	0	0	0	0	13.95	weight	0	450	0
ძეხვი შებოლილი "პრემიო" სერველატი ექსტრა	0	0	0	0	7.65	weight	0	450	0
ძეხვი შებოლილი "ლიდერ ფუდი" სალიამი	0	0	0	0	8.95	weight	0	300	0
ძეხვი შებოლილი "პრემიო" მონადირული	0	0	0	0	2.8	weight	0	150	0
ძეხვი შებოლილი "ლიდერ ფუდი" სერველატი ფინური	0	0	0	0	9.95	weight	0	480	0
ძეხვი შებოლილი "პრემიო" სერველატი ექსტრა	0	0	0	0	5.1	weight	0	270	0
ძეხვი შებოლილი "პრემიო" მონადირული	0	0	0	0	5.49	weight	0	400	0
ძეხვი შებოლილი "ლიდერ ფუდი" სერველატი ვენური 480გრ	0	0	0	0	9.95	weight	0	480	0
ძეხვი შებოლილი "ლიდერ ფუდი" სერველატი ფინური	0	0	0	0	6.45	weight	0	300	0
ძეხვი შებოლილი "ლიდერ ფუდი" მონადირული ლუდისთვის	0	0	0	0	7.95	weight	0	400	0
ძეხვი შებოლილი "ლიდერ ფუდი" მონადირული ლუდისთვის	0	0	0	0	5.95	weight	0	210	0
ძეხვი შებოლილი "პრემიო" სერველატი ექსტრა	0	0	0	0	11.6	weight	0	750	0
ძეხვი შებოლილი "ლიდერ ფუდი" კრაკოვური	0	0	0	0	6.55	weight	0	310	0
