product,protein,fat,carbs,calories,price,sale_type,unit_weight,total_package_weight,is_promo
"ფანტელი შვრიის ""სოლნიშკო"" ალუბლის",5.0,0.9,67.0,360.0,1.25,weight,0,45.0,0
"ფანტელი შვრიის ""სოლნიშკო""",7.0,1.2,60.0,380.0,3.6,weight,0,350.0,0
"ფანტელი შვრიის ""კრუპნო""",6.0,0.0,59.0,360.0,2.85,weight,0,500.0,0
"ფანტელი შვრიის ""სოლნიშკო"" 5 მარცვალი",3.0,0.57,63.0,340.0,3.95,weight,0,400.0,0
"ფანტელი შვრიის ""სოლნიშკო"" გარგარი",5.5,0.9,58.0,350.0,4.95,weight,0,300.0,0
"ფანტელი შვრიის ""სოლნიშკო"" ქლიავით",6.0,0.9,60.0,360.0,4.95,weight,0,300.0,0
"მზა საუზმე ""აქსა"" ხრაშუნა ბატონი შოკოლადით მარწყვი იოგურტი",10.8,7.4,67.6,365.3,1.5,weight,0,25.0,0
"მზა საუზმე ""აქსა"" ხრაშუნა ბატონი შოკოლადით და თხილით",18.4,8.7,58.7,436.0,0.99,weight,0,25.0,0
"მიუსლი ""სტარტი"" გარგარის ჩირი და ქიშმიში",9.64,5.4,63.54,384.0,8.65,weight,0,375.0,0
"მიუსლი ""აქსა"" თაფლი და კენკრა",13.5,8.2,63.1,395.9,7.95,weight,0,330.0,0
"მიუსლი ""კრუპნო"" კენკრით",5.0,0.8,62.0,340.0,2.95,weight,0,300.0,0
"ფანტელი წიწიბურის ""კრუპნო""",2.0,0.7,69.0,340.0,3.5,weight,0,400.0,0
"ფანტელი შვრიის ""სოლნიშკო"" კლასიკური",7.0,1.2,60.0,380.0,2.65,weight,0,325.0,0
"მიუსლი ""აქსა"" თაფლი და კენკრა",13.5,8.2,63.1,395.9,3.75,weight,0,150.0,0
"მიუსლი ""კრუპნო"" ხილით",2.5,0.8,66.0,320.0,4.1,weight,0,300.0,0
საცხობი საშუალებები,0.0,0.0,0.0,0.0,0.0,package_weight,0,0.0,0
"ვანილი ""იამუნია""",0.0,0.0,0.0,0.0,0.4,weight,0,2.0,0
"გასაფხვიერებელი ცომის ""იამუნია""",0.0,0.0,0.0,0.0,0.55,weight,0,18.0,0
"ვანილი ""კენტი""",0.0,0.0,0.0,0.0,0.25,weight,0,5.0,0
"საფუარი მშრალი ""იუვა""",0.0,0.0,0.0,0.0,1.45,weight,0,80.0,0
"ლიმონმჟავა ""იამუნია""",0.0,0.0,0.0,0.0,1.2,weight,0,20.0,0
"ჟელატინი ""იამუნია""",0.0,0.0,0.0,0.0,2.1,weight,0,15.0,0
სოდა საკვები,0.0,0.0,0.0,0.0,1.5,weight,0,500.0,0
"სანელებლები დარიჩინი ""იამუნა"" დაფქვილი",0.0,0.0,0.0,0.0,1.65,weight,0,15.0,0
"სახამებელი კარტოფილის ""იამუნია""",0.0,0.0,0.0,0.0,3.55,weight,0,200.0,0
"ფქვილი ხორბლის ""ფაველი"" უ/ხ",0.0,0.0,0.0,0.0,4.35,weight,0,2000.0,0
"ფქვილი ხორბლის ""ზოგე"" უ/ხ",0.0,0.0,0.0,0.0,3.9,weight,0,2000.0,0
ფქვილი სიმინდის უ/ხ,0.0,0.0,0.0,0.0,4.6,weight,0,1000.0,0
"ფქვილი ხორბლის ""ზოგე"" უ/ხ",0.0,0.0,0.0,0.0,2.2,weight,0,1000.0,0
ღერღილი სიმინდის უ/ხ,0.0,0.0,0.0,0.0,4.6,weight,0,1000.0,0
